"service_id","date","exception_type"
1,20220425,1
1,20220502,1
1,20220509,1
1,20220516,1
1,20220523,1
1,20220530,1
1,20220613,1
1,20220620,1
1,20220815,1
1,20220822,1
1,20220829,1
1,20220905,1
1,20220912,1
1,20220919,1
1,20220926,1
1,20221017,1
1,20221024,1
1,20221031,1
1,20221107,1
1,20221114,1
1,20221121,1
1,20221128,1
1,20221205,1
1,20220426,1
1,20220503,1
1,20220510,1
1,20220517,1
1,20220524,1
1,20220531,1
1,20220607,1
1,20220614,1
1,20220621,1
1,20220816,1
1,20220823,1
1,20220830,1
1,20220906,1
1,20220913,1
1,20220920,1
1,20220927,1
1,20221018,1
1,20221025,1
1,20221108,1
1,20221115,1
1,20221122,1
1,20221129,1
1,20221206,1
1,20220427,1
1,20220504,1
1,20220511,1
1,20220518,1
1,20220525,1
1,20220601,1
1,20220608,1
1,20220615,1
1,20220622,1
1,20220810,1
1,20220817,1
1,20220824,1
1,20220831,1
1,20220907,1
1,20220914,1
1,20220921,1
1,20220928,1
1,20221019,1
1,20221026,1
1,20221102,1
1,20221109,1
1,20221116,1
1,20221123,1
1,20221130,1
1,20221207,1
1,20220428,1
1,20220505,1
1,20220512,1
1,20220519,1
1,20220602,1
1,20220609,1
1,20220623,1
1,20220811,1
1,20220818,1
1,20220825,1
1,20220901,1
1,20220908,1
1,20220915,1
1,20220922,1
1,20220929,1
1,20221020,1
1,20221027,1
1,20221103,1
1,20221110,1
1,20221117,1
1,20221124,1
1,20221201,1
1,20221208,1
1,20220429,1
1,20220506,1
1,20220513,1
1,20220520,1
1,20220527,1
1,20220603,1
1,20220610,1
1,20220617,1
1,20220624,1
1,20220812,1
1,20220819,1
1,20220826,1
1,20220902,1
1,20220909,1
1,20220916,1
1,20220923,1
1,20220930,1
1,20221021,1
1,20221028,1
1,20221104,1
1,20221111,1
1,20221118,1
1,20221125,1
1,20221202,1
1,20221209,1
2,20220314,1
2,20220321,1
2,20220328,1
2,20220404,1
2,20220315,1
